1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,-9826.4375
,,,,,,,,,,-7524.8125,-11062.162499999977
,,,,,,,,,-64046.9375,-9862.224999999977,-14265.4375
,,,,,,,,-12460.3125,-67551.97499999998,-13918.625,-17209.974999999977
,,,,,,,-19486.375,-17834.849999999977,-71727.5,-18357.287499999977,-23410.962500000023
,,,,,,-6288.125,-24166.787499999977,-22994.0,-75626.84999999998,-21609.025000000023,-44604.28472222225
,,,,,-66377.8125,-10450.224999999977,-29725.75,-26766.224999999977,-79257.52500000002,-42381.90972222225,-50995.0625
,,,,-24404.9375,-70982.84999999998,-15230.5625,-33839.53749999998,-30101.400000000023,-100247.28472222225,-48130.375,-56898.60416666663
,,,-46835.75,-28587.974999999977,-76091.1875,-18406.099999999977,-37434.02500000002,-50708.97222222225,-106081.4375,-53266.41666666663,-63580.60416666663
,,-33961.5,-44511.28749999998,-26581.9375,-74194.16249999998,-16473.400000000023,-46818.28472222225,-48011.4375,-107398.16666666663,-54464.47916666663,-57250.60416666663
,-13751.1875,7071.650000000023,-20105.125,17348.587500000023,-44219.96250000002,-12772.847222222248,-9355.3125,-41061.54166666663,-56084.22916666663,-6655.104166666628,-45184.33333333337
-50735.75,-16690.349999999977,3585.125,-22386.349999999977,15080.724999999977,-64176.34722222225,-17440.75,-14051.604166666628,-46325.91666666663,-58735.10416666663,-8844.395833333372,-47047.486111111124
-44491.66249999998,-25478.625,-40040.66249999998,-47789.90000000002,-42185.34722222225,-91913.75,-43855.16666666663,-57878.91666666663,-58995.79166666663,-109989.08333333337,-56669.298611111124,-63883.055555555504
-47213.625,-26676.974999999977,-40885.96250000002,-66240.84722222225,-46031.75,-95430.91666666663,-48075.91666666663,-59647.60416666663,-60216.39583333337,-110713.48611111112,-56735.243055555504,-63740.881944444496
-47880.59999999998,-26959.900000000023,-58634.84722222225,-69191.6875,-48801.60416666663,-99212.66666666663,-48846.41666666663,-60531.89583333337,-60111.736111111124,-110275.5555555555,-55774.006944444496,-64340.09027777775
-47867.27500000002,-44420.03472222225,-61180.375,-71388.10416666663,-52154.35416666663,-99775.47916666663,-49116.45833333337,-60291.298611111124,-59195.743055555504,-109030.3819444445,-55864.59027777775,-64986.423611111124
-65143.65972222225,-46795.0,-63144.91666666663,-74366.47916666663,-52455.04166666663,-99941.89583333337,-48457.611111111124,-59352.743055555504,-57658.069444444496,-108973.90277777775,-56155.048611111124,-65634.5
-66800.0,-47867.41666666663,-65173.16666666663,-73877.66666666663,-51994.02083333337,-98579.48611111112,-46470.868055555504,-57155.131944444496,-56864.96527777775,-108621.98611111112,-55842.125,-62420.22222222225
-68309.04166666663,-50270.72916666663,-64773.29166666663,-73250.08333333337,-50993.611111111124,-97041.4930555555,-44475.194444444496,-56677.02777777775,-56606.798611111124,-108712.5,-53083.78472222225,-59174.97222222225
-70407.10416666663,-49589.41666666663,-63905.20833333337,-71717.73611111112,-49106.680555555504,-94739.2569444445,-43479.65277777775,-56259.173611111124,-56296.5625,-105527.53472222225,-49443.22222222225,-55221.131944444496
-69348.35416666663,-48413.77083333337,-61980.486111111124,-69365.6805555555,-46454.256944444496,-93432.84027777775,-42556.611111111124,-55691.125,-52783.34722222225,-101510.47222222225,-45059.194444444496,-51073.52777777775
-68205.27083333337,-46606.611111111124,-59691.430555555504,-66666.7569444445,-45243.34027777775,-92591.23611111112,-41970.0,-52337.97222222225,-48847.34722222225,-97154.1944444445,-40931.65277777775,-48172.08333333337
-66309.17361111112,-44330.055555555504,-56982.256944444496,-65356.59027777775,-44383.986111111124,-91958.125,-38491.53472222225,-48486.34722222225,-44494.819444444496,-92947.40277777775,-37901.58333333337,-45823.618055555504
-64054.180555555504,-41730.444444444496,-55747.84027777775,-64501.861111111124,-43848.75,-88544.03472222225,-34630.22222222225,-44333.881944444496,-40386.65277777775,-89968.27083333337,-35532.243055555504,-42787.125
-61483.944444444496,-40585.84027777775,-54975.548611111124,-63951.8125,-40511.34722222225,-84717.65972222225,-30450.194444444496,-40408.21527777775,-37484.83333333337,-87665.6805555555,-32485.9375,-41033.09722222225
-60047.02777777775,-39603.486111111124,-54171.375,-60253.22222222225,-36437.15972222225,-80225.4444444445,-26181.090277777752,-37383.14583333337,-34894.243055555504,-84261.75,-30386.847222222248,
-58969.611111111124,-38863.6875,-50738.28472222225,-55753.47222222225,-31904.194444444496,-75791.40277777775,-23219.958333333372,-34772.368055555504,-31662.3125,-82102.59722222225,,
-58045.375,-35111.53472222225,-46162.47222222225,-51371.756944444496,-27502.527777777752,-72518.20833333337,-20328.993055555504,-31544.625,-29305.347222222248,,,
-54308.22222222225,-30943.784722222248,-41584.819444444496,-46902.27777777775,-24268.833333333372,-69776.8055555555,-16922.75,-29514.159722222248,,,,
-50056.47222222225,-26368.506944444496,-37185.96527777775,-43533.02083333337,-21554.805555555504,-66285.25,-14730.534722222248,,,,,
-45585.881944444496,-22150.590277777752,-34100.45833333337,-40930.868055555504,-18240.875,-64225.72222222225,,,,,,
-42353.59027777775,-19590.770833333372,-32479.680555555504,-38368.375,-17053.597222222248,,,,,,,
-39149.02083333337,-16967.118055555504,-29113.4375,-36230.90972222225,,,,,,,,
-36466.118055555504,-13529.0,-26934.097222222248,,,,,,,,,
-32888.5,-11186.784722222248,,,,,,,,,,
-30368.284722222248,,,,,,,,,,,
