,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-11-04,536454.6496977321,189078.7198292747,836039.2244848543,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
1,2017-11-04,536454.6496977321,218551.70647429803,846630.602998393,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
2,2017-11-04,536454.6496977321,207978.29809750876,831917.681315538,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
3,2017-11-04,536454.6496977321,182806.9380776695,826741.243757906,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
4,2017-11-04,536454.6496977321,165736.83964511778,825983.0617834803,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
5,2017-11-04,536454.6496977321,190800.09247012803,845050.9707209963,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
6,2017-11-04,536454.6496977321,205684.2856656594,854624.4074395199,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
7,2017-11-04,536454.6496977321,198512.30526978994,864164.6037306893,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
8,2017-11-04,536454.6496977321,198702.41821895944,821505.9260572321,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
9,2017-11-04,536454.6496977321,201031.71347993496,852700.7824189588,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
10,2017-11-11,536807.8615858676,185094.51920656487,839752.5020102436,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
11,2017-11-11,536807.8615858676,175176.9819981815,853889.9574072456,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
