region_date,date,size_rank,region_name,latitude,longitude,list_price,sale_price,list_divided_by_sale,list_minus_sale
sandiego20171104,2017-11-04,17,"San Diego, CA",32.7174202,-117.1627728,728005.0,541438.0,74.37284084587331,186567.0
sanfrancisco20171104,2017-11-04,11,"San Francisco, CA",37.7790262,-122.419906,867930.0,781063.0,89.99147396679456,86867.0
riverside20171104,2017-11-04,13,"Riverside, CA",33.9533546,-117.3961623,388757.0,342999.0,88.22966531792353,45758.0
losangeles-longbeach-anaheim20171104,2017-11-04,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,812252.0,611250.0,75.25373898740784,201002.0
stockton20171104,2017-11-04,77,"Stockton, CA",37.9577016,-121.2907796,408007.0,357875.0,87.71295590516829,50132.0
ventura20171104,2017-11-04,66,"Ventura, CA",34.4458248,-119.0779359,779777.0,583688.0,74.85319520837368,196089.0
sacramento20171104,2017-11-04,25,"Sacramento, CA",38.5810606,-121.493895,466317.0,392750.0,84.22382199233569,73567.0
bakersfield20171104,2017-11-04,63,"Bakersfield, CA",35.3738712,-119.0194639,265423.0,224375.0,84.53487452104753,41048.0
sanjose20171104,2017-11-04,34,"San Jose, CA",37.3361905,-121.890583,1086372.0,980250.0,90.23152290375673,106122.0
fresno20171104,2017-11-04,56,"Fresno, CA",36.7394421,-119.7848307,338397.0,267125.0,78.93834756218287,71272.0
bakersfield20171111,2017-11-11,63,"Bakersfield, CA",35.3738712,-119.0194639,263917.0,221875.0,84.0699917019366,42042.0
ventura20171111,2017-11-11,66,"Ventura, CA",34.4458248,-119.0779359,774863.0,591813.0,76.37646913067213,183050.0
fresno20171111,2017-11-11,56,"Fresno, CA",36.7394421,-119.7848307,338397.0,271875.0,80.34202430872614,66522.0
stockton20171111,2017-11-11,77,"Stockton, CA",37.9577016,-121.2907796,406932.0,366375.0,90.03346996549793,40557.0
sandiego20171111,2017-11-11,17,"San Diego, CA",32.7174202,-117.1627728,725824.0,546438.0,75.2851931046645,179386.0
riverside20171111,2017-11-11,13,"Riverside, CA",33.9533546,-117.3961623,388782.0,346686.0,89.17233822553513,42096.0
sanfrancisco20171111,2017-11-11,11,"San Francisco, CA",37.7790262,-122.419906,862817.0,798750.0,92.57467110638756,64067.0
losangeles-longbeach-anaheim20171111,2017-11-11,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,813533.0,612500.0,75.28889424276582,201033.0
sacramento20171111,2017-11-11,25,"Sacramento, CA",38.5810606,-121.493895,466418.0,393188.0,84.29949101449773,73230.0
sanjose20171111,2017-11-11,34,"San Jose, CA",37.3361905,-121.890583,1097984.0,995000.0,90.6206283515971,102984.0
ventura20171118,2017-11-18,66,"Ventura, CA",34.4458248,-119.0779359,769950.0,603063.0,78.3249561659848,166887.0
bakersfield20171118,2017-11-18,63,"Bakersfield, CA",35.3738712,-119.0194639,262635.0,229188.0,87.26483522759723,33447.0
fresno20171118,2017-11-18,56,"Fresno, CA",36.7394421,-119.7848307,338660.0,266375.0,78.65558377133408,72285.0
stockton20171118,2017-11-18,77,"Stockton, CA",37.9577016,-121.2907796,405615.0,370125.0,91.25032358270774,35490.0
sandiego20171118,2017-11-18,17,"San Diego, CA",32.7174202,-117.1627728,725590.0,551125.0,75.95542937471575,174465.0
sanfrancisco20171118,2017-11-18,11,"San Francisco, CA",37.7790262,-122.419906,857704.0,797500.0,92.98079523938328,60204.0
losangeles-longbeach-anaheim20171118,2017-11-18,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,813533.0,615000.0,75.59619585191996,198533.0
riverside20171118,2017-11-18,13,"Riverside, CA",33.9533546,-117.3961623,388807.0,346063.0,89.00637077007359,42744.0
sacramento20171118,2017-11-18,25,"Sacramento, CA",38.5810606,-121.493895,466545.0,394500.0,84.5577597016365,72045.0
sanjose20171118,2017-11-18,34,"San Jose, CA",37.3361905,-121.890583,1119945.0,996500.0,88.97758372062914,123445.0
ventura20171125,2017-11-25,66,"Ventura, CA",34.4458248,-119.0779359,766252.0,613875.0,80.11398338927663,152377.0
bakersfield20171125,2017-11-25,63,"Bakersfield, CA",35.3738712,-119.0194639,261378.0,229938.0,87.97144365631384,31440.0
fresno20171125,2017-11-25,56,"Fresno, CA",36.7394421,-119.7848307,338646.0,269000.0,79.43398120751463,69646.0
stockton20171125,2017-11-25,77,"Stockton, CA",37.9577016,-121.2907796,405615.0,371000.0,91.4660453878678,34615.0
sandiego20171125,2017-11-25,17,"San Diego, CA",32.7174202,-117.1627728,723252.0,555750.0,76.84043735793334,167502.0
riverside20171125,2017-11-25,13,"Riverside, CA",33.9533546,-117.3961623,388832.0,347313.0,89.32212369352317,41519.0
sanfrancisco20171125,2017-11-25,11,"San Francisco, CA",37.7790262,-122.419906,845407.0,801250.0,94.77683529944748,44157.0
losangeles-longbeach-anaheim20171125,2017-11-25,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,815583.0,614313.0,75.32194761293455,201270.0
sacramento20171125,2017-11-25,25,"Sacramento, CA",38.5810606,-121.493895,466570.0,390063.0,83.60224617956577,76507.0
sanjose20171125,2017-11-25,34,"San Jose, CA",37.3361905,-121.890583,1109652.0,986625.0,88.91301056547458,123027.0
bakersfield20171202,2017-12-02,63,"Bakersfield, CA",35.3738712,-119.0194639,261353.0,234063.0,89.55818375913037,27290.0
ventura20171202,2017-12-02,66,"Ventura, CA",34.4458248,-119.0779359,766252.0,605750.0,79.05362726622573,160502.0
fresno20171202,2017-12-02,56,"Fresno, CA",36.7394421,-119.7848307,339579.0,269250.0,79.28935534882899,70329.0
stockton20171202,2017-12-02,77,"Stockton, CA",37.9577016,-121.2907796,405749.0,374375.0,92.2676334384065,31374.0
sandiego20171202,2017-12-02,17,"San Diego, CA",32.7174202,-117.1627728,724551.0,558250.0,77.04771644784148,166301.0
riverside20171202,2017-12-02,13,"Riverside, CA",33.9533546,-117.3961623,388856.0,352438.0,90.63457938157056,36418.0
sanfrancisco20171202,2017-12-02,11,"San Francisco, CA",37.7790262,-122.419906,832625.0,781188.0,93.82230896261822,51437.0
losangeles-longbeach-anaheim20171202,2017-12-02,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,816608.0,618063.0,75.68662075316432,198545.0
sacramento20171202,2017-12-02,25,"Sacramento, CA",38.5810606,-121.493895,466824.0,388813.0,83.2889911401299,78011.0
sanjose20171202,2017-12-02,34,"San Jose, CA",37.3361905,-121.890583,1085136.0,993938.0,91.59570781911206,91198.0
bakersfield20171209,2017-12-09,63,"Bakersfield, CA",35.3738712,-119.0194639,261328.0,239063.0,91.48005571542276,22265.0
ventura20171209,2017-12-09,66,"Ventura, CA",34.4458248,-119.0779359,769937.0,601375.0,78.10703992664335,168562.0
fresno20171209,2017-12-09,56,"Fresno, CA",36.7394421,-119.7848307,340914.0,263250.0,77.21888804801212,77664.0
stockton20171209,2017-12-09,77,"Stockton, CA",37.9577016,-121.2907796,407093.0,370222.0,90.94285580936052,36871.0
sandiego20171209,2017-12-09,17,"San Diego, CA",32.7174202,-117.1627728,726731.0,559563.0,76.99726583839137,167168.0
riverside20171209,2017-12-09,13,"Riverside, CA",33.9533546,-117.3961623,388832.0,354500.0,91.17047979590156,34332.0
sanfrancisco20171209,2017-12-09,11,"San Francisco, CA",37.7790262,-122.419906,824955.0,776313.0,94.10367838245722,48642.0
losangeles-longbeach-anaheim20171209,2017-12-09,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,817633.0,621813.0,76.05037957127465,195820.0
sacramento20171209,2017-12-09,25,"Sacramento, CA",38.5810606,-121.493895,466595.0,388063.0,83.16912954489439,78532.0
sanjose20171209,2017-12-09,34,"San Jose, CA",37.3361905,-121.890583,1079975.0,1003313.0,92.90150234959142,76662.0
ventura20171216,2017-12-16,66,"Ventura, CA",34.4458248,-119.0779359,772394.0,584813.0,75.71433750132705,187581.0
bakersfield20171216,2017-12-16,63,"Bakersfield, CA",35.3738712,-119.0194639,260850.0,233000.0,89.3233659191106,27850.0
fresno20171216,2017-12-16,56,"Fresno, CA",36.7394421,-119.7848307,342904.0,266000.0,77.57273172666402,76904.0
stockton20171216,2017-12-16,77,"Stockton, CA",37.9577016,-121.2907796,408098.0,367722.0,90.10629799704974,40376.0
sandiego20171216,2017-12-16,17,"San Diego, CA",32.7174202,-117.1627728,729563.0,557063.0,76.35570882843565,172500.0
sanfrancisco20171216,2017-12-16,11,"San Francisco, CA",37.7790262,-122.419906,817286.0,768813.0,94.06902846739084,48473.0
losangeles-longbeach-anaheim20171216,2017-12-16,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,818658.0,616813.0,75.3444051117805,201845.0
riverside20171216,2017-12-16,13,"Riverside, CA",33.9533546,-117.3961623,388832.0,353250.0,90.8490041971854,35582.0
sacramento20171216,2017-12-16,25,"Sacramento, CA",38.5810606,-121.493895,466697.0,388000.0,83.1374532083986,78697.0
sanjose20171216,2017-12-16,34,"San Jose, CA",37.3361905,-121.890583,1077395.0,983938.0,91.32565122355312,93457.0
ventura20171223,2017-12-23,66,"Ventura, CA",34.4458248,-119.0779359,772161.0,568813.0,73.66507761982281,203348.0
bakersfield20171223,2017-12-23,63,"Bakersfield, CA",35.3738712,-119.0194639,260624.0,230375.0,88.39362453189268,30249.0
fresno20171223,2017-12-23,56,"Fresno, CA",36.7394421,-119.7848307,343968.0,267250.0,77.69618104009676,76718.0
stockton20171223,2017-12-23,77,"Stockton, CA",37.9577016,-121.2907796,408098.0,367472.0,90.04503820160843,40626.0
sandiego20171223,2017-12-23,17,"San Diego, CA",32.7174202,-117.1627728,733718.0,552438.0,75.29295996554535,181280.0
riverside20171223,2017-12-23,13,"Riverside, CA",33.9533546,-117.3961623,390053.0,355188.0,91.06147113341008,34865.0
sanfrancisco20171223,2017-12-23,11,"San Francisco, CA",37.7790262,-122.419906,814499.0,753938.0,92.56463175522624,60561.0
losangeles-longbeach-anaheim20171223,2017-12-23,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,818914.0,621250.0,75.86266689786717,197664.0
sacramento20171223,2017-12-23,25,"Sacramento, CA",38.5810606,-121.493895,467839.0,390500.0,83.4688856636578,77339.0
sanjose20171223,2017-12-23,34,"San Jose, CA",37.3361905,-121.890583,1083846.0,1001813.0,92.4313048163669,82033.0
ventura20171230,2017-12-30,66,"Ventura, CA",34.4458248,-119.0779359,772161.0,575813.0,74.57162431151016,196348.0
bakersfield20171230,2017-12-30,63,"Bakersfield, CA",35.3738712,-119.0194639,260398.0,230500.0,88.51834499496924,29898.0
