,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-11-04,536454.6496977321,197232.48373412658,839819.0969294551,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
1,2017-11-04,536454.6496977321,212052.41356155017,848186.1135348795,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
2,2017-11-04,536454.6496977321,192122.5860407033,848723.0138590665,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
3,2017-11-04,536454.6496977321,187063.45276285018,820648.5348403493,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
4,2017-11-04,536454.6496977321,201050.6174205809,848440.4618047178,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
5,2017-11-04,536454.6496977321,210641.30401290138,832011.0098296293,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
6,2017-11-04,536454.6496977321,203905.82711607634,828743.1773471175,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
7,2017-11-04,536454.6496977321,190272.78644263465,808659.8640523311,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
8,2017-11-04,536454.6496977321,212155.06009022405,844964.0302828703,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
9,2017-11-04,536454.6496977321,206473.29416489223,818437.4768066704,536454.6496977321,536454.6496977321,-20013.946314371908,-20013.946314371908,-20013.946314371908,-19182.605729960556,-19182.605729960556,-19182.605729960556,-831.3405844113499,-831.3405844113499,-831.3405844113499,0.0,0.0,0.0,516440.7033833602
10,2017-11-11,536807.8615858676,191444.90025723554,801834.8048663938,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
11,2017-11-11,536807.8615858676,196319.09777251974,844778.456056224,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
12,2017-11-11,536807.8615858676,186198.5663866201,800786.3578196615,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
13,2017-11-11,536807.8615858676,206311.3415651809,836489.2202010909,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
14,2017-11-11,536807.8615858676,222378.27692094562,832545.085720825,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
15,2017-11-11,536807.8615858676,193653.9403404588,810582.863468698,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
16,2017-11-11,536807.8615858676,175353.96572875185,837350.5588386871,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
17,2017-11-11,536807.8615858676,181236.96722046944,850321.5517903664,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
18,2017-11-11,536807.8615858676,209828.12733989523,859578.4149356692,536807.8615858676,536807.8615858676,-19949.92546054333,-19949.92546054333,-19949.92546054333,-19182.605729960556,-19182.605729960556,-19182.605729960556,-767.3197305827726,-767.3197305827726,-767.3197305827726,0.0,0.0,0.0,516857.9361253243
