region_date,state,date,income
unitedstates2019,United States,2019,68703.0
alabama2019,Alabama,2019,56200.0
alaska2019,Alaska,2019,78394.0
arizona2019,Arizona,2019,70674.0
arkansas2019,Arkansas,2019,54539.0
california2019,California,2019,78105.0
colorado2019,Colorado,2019,72499.0
connecticut2019,Connecticut,2019,87291.0
delaware2019,Delaware,2019,74194.0
districtofcolumbia2019,District of Columbia,2019,93111.0
florida2019,Florida,2019,58368.0
georgia2019,Georgia,2019,56628.0
hawaii2019,Hawaii,2019,88006.0
idaho2019,Idaho,2019,65988.0
illinois2019,Illinois,2019,74399.0
indiana2019,Indiana,2019,66693.0
iowa2019,Iowa,2019,66054.0
kansas2019,Kansas,2019,73151.0
kentucky2019,Kentucky,2019,55662.0
louisiana2019,Louisiana,2019,51707.0
maine2019,Maine,2019,66546.0
maryland2019,Maryland,2019,95572.0
massachusetts2019,Massachusetts,2019,87707.0
michigan2019,Michigan,2019,64119.0
minnesota2019,Minnesota,2019,81426.0
mississippi2019,Mississippi,2019,44787.0
missouri2019,Missouri,2019,60597.0
montana2019,Montana,2019,60195.0
nebraska2019,Nebraska,2019,73071.0
nevada2019,Nevada,2019,70906.0
newhampshire2019,New Hampshire,2019,86900.0
newjersey2019,New Jersey,2019,87726.0
newmexico2019,New Mexico,2019,53113.0
newyork2019,New York,2019,71855.0
northcarolina2019,North Carolina,2019,61159.0
northdakota2019,North Dakota,2019,70031.0
ohio2019,Ohio,2019,64663.0
oklahoma2019,Oklahoma,2019,59397.0
oregon2019,Oregon,2019,74413.0
pennsylvania2019,Pennsylvania,2019,70582.0
rhodeisland2019,Rhode Island,2019,70151.0
southcarolina2019,South Carolina,2019,62028.0
southdakota2019,South Dakota,2019,64255.0
tennessee2019,Tennessee,2019,56627.0
texas2019,Texas,2019,67444.0
utah2019,Utah,2019,84523.0
vermont2019,Vermont,2019,74305.0
virginia2019,Virginia,2019,81313.0
washington2019,Washington,2019,82454.0
westvirginia2019,West Virginia,2019,53706.0
wisconsin2019,Wisconsin,2019,67355.0
wyoming2019,Wyoming,2019,65134.0
unitedstates2018,United States,2018,63179.0
