date,size_rank,region_name,list_price,sale_price,list_divided_by_sale,list_minus_sale
2017-11-04,0,United States,275448.0,235099.0,85.35150010165258,40349.0
2017-11-11,0,United States,275448.0,234750.0,85.22479742092881,40698.0
2017-11-18,0,United States,275448.0,235750.0,85.5878423513694,39698.0
2017-11-25,0,United States,274975.0,235916.0,85.79543594872261,39059.0
2017-12-02,0,United States,274825.0,237166.0,86.29709815337033,37659.0
2017-12-09,0,United States,274075.0,238591.0,87.0531788743957,35484.0
2017-12-16,0,United States,272825.0,238841.0,87.54366352057178,33984.0
2017-12-23,0,United States,271575.0,239650.0,88.2444996778054,31925.0
2017-12-30,0,United States,270450.0,241059.0,89.13255684969495,29391.0
2018-01-06,0,United States,269925.0,239447.0,88.70871538390294,30478.0
2018-01-13,0,United States,269900.0,238197.0,88.2537977028529,31703.0
2018-01-20,0,United States,269925.0,236972.0,87.79179401685654,32953.0
2018-01-27,0,United States,270950.0,233563.0,86.20151319431629,37387.0
2018-02-03,0,United States,272200.0,234250.0,86.05804555473917,37950.0
2018-02-10,0,United States,273475.0,233700.0,85.45570893134656,39775.0
2018-02-17,0,United States,275725.0,234450.0,85.03037446731344,41275.0
2018-02-24,0,United States,277200.0,235950.0,85.11904761904762,41250.0
2018-03-03,0,United States,278975.0,237700.0,85.20476745228068,41275.0
2018-03-10,0,United States,281475.0,239000.0,84.90984989785949,42475.0
2018-03-17,0,United States,283975.0,239551.0,84.35636939871468,44424.0
2018-03-24,0,United States,286475.0,240051.0,83.79474648747708,46424.0
2018-03-31,0,United States,288475.0,242051.0,83.90709766877545,46424.0
2018-04-07,0,United States,290850.0,242551.0,83.39384562489256,48299.0
2018-04-14,0,United States,292350.0,243750.0,83.37609030271935,48600.0
2018-04-21,0,United States,294575.0,245000.0,83.17066960875839,49575.0
2018-04-28,0,United States,296825.0,243978.0,82.19590667901963,52847.0
2018-05-05,0,United States,298083.0,245228.0,82.26836149663013,52855.0
2018-05-12,0,United States,299308.0,245228.0,81.93165568578186,54080.0
2018-05-19,0,United States,299583.0,246228.0,82.19024443977129,53355.0
2018-05-26,0,United States,299808.0,247000.0,82.38606041199701,52808.0
2018-06-02,0,United States,299900.0,249500.0,83.1943981327109,50400.0
2018-06-09,0,United States,299900.0,250725.0,83.60286762254084,49175.0
2018-06-16,0,United States,299900.0,252013.0,84.0323441147049,47887.0
2018-06-23,0,United States,299900.0,253513.0,84.53251083694565,46387.0
2018-06-30,0,United States,299900.0,254738.0,84.94098032677559,45162.0
2018-07-07,0,United States,299900.0,254738.0,84.94098032677559,45162.0
2018-07-14,0,United States,299900.0,253825.0,84.63654551517172,46075.0
2018-07-21,0,United States,299900.0,252575.0,84.21973991330444,47325.0
2018-07-28,0,United States,299800.0,250100.0,83.42228152101401,49700.0
2018-08-04,0,United States,299575.0,250125.0,83.49328214971209,49450.0
2018-08-11,0,United States,299350.0,249250.0,83.26373809921496,50100.0
2018-08-18,0,United States,299125.0,249250.0,83.32636857501045,49875.0
2018-08-25,0,United States,299000.0,248750.0,83.19397993311036,50250.0
2018-09-01,0,United States,298750.0,248750.0,83.26359832635984,50000.0
2018-09-08,0,United States,298475.0,247388.0,82.88399363430773,51087.0
2018-09-15,0,United States,298450.0,246138.0,82.47210588038197,52312.0
2018-09-22,0,United States,298450.0,245388.0,82.2208075054448,53062.0
2018-09-29,0,United States,298675.0,244638.0,81.90775927010965,54037.0
2018-10-06,0,United States,298825.0,244225.0,81.72843637580523,54600.0
2018-10-13,0,United States,298600.0,242975.0,81.37139986604153,55625.0
2018-10-20,0,United States,298350.0,242975.0,81.43958438076085,55375.0
2018-10-27,0,United States,297925.0,241975.0,81.22010573130821,55950.0
2018-11-03,0,United States,297200.0,243250.0,81.84724091520862,53950.0
2018-11-10,0,United States,296450.0,244000.0,82.30730308652386,52450.0
2018-11-17,0,United States,295700.0,244750.0,82.76969901927629,50950.0
2018-11-24,0,United States,294625.0,245225.0,83.23292320746712,49400.0
2018-12-01,0,United States,293475.0,246475.0,83.98500724082119,47000.0
2018-12-08,0,United States,292713.0,246975.0,84.37445552469484,45738.0
2018-12-15,0,United States,291463.0,246975.0,84.73631301400178,44488.0
2018-12-22,0,United States,290713.0,247750.0,85.22150712214453,42963.0
2018-12-29,0,United States,290438.0,247750.0,85.30219874809771,42688.0
2019-01-05,0,United States,289825.0,247750.0,85.48261882170274,42075.0
2019-01-12,0,United States,289800.0,246375.0,85.01552795031056,43425.0
2019-01-19,0,United States,289800.0,244875.0,84.49792960662525,44925.0
2019-01-26,0,United States,289825.0,242375.0,83.62805141033382,47450.0
2019-02-02,0,United States,291175.0,242675.0,83.3433502189405,48500.0
2019-02-09,0,United States,292450.0,240800.0,82.33886134381946,51650.0
2019-02-16,0,United States,294700.0,240300.0,81.54054971157109,54400.0
2019-02-23,0,United States,296950.0,241550.0,81.34366054891396,55400.0
2019-03-02,0,United States,298200.0,242500.0,81.32126089872568,55700.0
2019-03-09,0,United States,299425.0,245000.0,81.82349503214495,54425.0
2019-03-16,0,United States,300694.0,247250.0,82.22644948020246,53444.0
2019-03-23,0,United States,303194.0,248000.0,81.7958139013305,55194.0
2019-03-30,0,United States,305694.0,249250.0,81.53578415016324,56444.0
2019-04-06,0,United States,308844.0,250475.0,81.1008146507622,58369.0
2019-04-13,0,United States,311600.0,250975.0,80.54396662387676,60625.0
2019-04-20,0,United States,313100.0,252725.0,80.71702331523475,60375.0
2019-04-27,0,United States,315375.0,252200.0,79.96829171621086,63175.0
2019-05-04,0,United States,317225.0,254475.0,80.21908739853416,62750.0
2019-05-11,0,United States,318475.0,255725.0,80.29672658764424,62750.0
2019-05-18,0,United States,320450.0,256950.0,80.184116086753,63500.0
2019-05-25,0,United States,321925.0,258725.0,80.3680981595092,63200.0
2019-06-01,0,United States,323175.0,260975.0,80.75346174673165,62200.0
2019-06-08,0,United States,324400.0,262025.0,80.77219482120839,62375.0
2019-06-15,0,United States,324900.0,263300.0,81.04032009849185,61600.0
2019-06-22,0,United States,324675.0,264550.0,81.48148148148148,60125.0
2019-06-29,0,United States,323997.0,265050.0,81.80631302141687,58947.0
2019-07-06,0,United States,322772.0,265645.0,82.30112897029483,57127.0
2019-07-13,0,United States,321547.0,264770.0,82.34255023371388,56777.0
2019-07-20,0,United States,320522.0,264645.0,82.56687528469185,55877.0
2019-07-27,0,United States,319950.0,262895.0,82.167526175965,57055.0
2019-08-03,0,United States,319700.0,263500.0,82.42101970597435,56200.0
2019-08-10,0,United States,319091.0,262875.0,82.38245516169368,56216.0
2019-08-17,0,United States,317866.0,262125.0,82.46399426173294,55741.0
2019-08-24,0,United States,316641.0,261375.0,82.5461642680512,55266.0
2019-08-31,0,United States,315616.0,261375.0,82.81424262394809,54241.0
2019-09-07,0,United States,314462.0,260375.0,82.80014755359947,54087.0
2019-09-14,0,United States,313837.0,259500.0,82.68623521127209,54337.0
2019-09-21,0,United States,312838.0,258999.0,82.79013419085916,53839.0
2019-09-28,0,United States,311613.0,257749.0,82.71445671393684,53864.0
2019-10-05,0,United States,310875.0,258999.0,83.31290711700844,51876.0
2019-10-12,0,United States,310225.0,259124.0,83.52776210814731,51101.0
2019-10-19,0,United States,309950.0,259600.0,83.75544442652041,50350.0
2019-10-26,0,United States,309825.0,259350.0,83.70854514645364,50475.0
2019-11-02,0,United States,309314.0,259975.0,84.04889529733539,49339.0
2019-11-09,0,United States,308089.0,259350.0,84.18022065052631,48739.0
2019-11-16,0,United States,306739.0,260000.0,84.7626157743228,46739.0
2019-11-23,0,United States,304364.0,261250.0,85.83472421179903,43114.0
2019-11-30,0,United States,302363.0,261125.0,86.36142649728968,41238.0
2019-12-07,0,United States,301088.0,262875.0,87.30836167499203,38213.0
2019-12-14,0,United States,299938.0,263500.0,87.85148930779027,36438.0
2019-12-21,0,United States,299835.0,264496.0,88.21385095135658,35339.0
2019-12-28,0,United States,299598.0,265221.0,88.52562433661106,34377.0
2020-01-04,0,United States,299373.0,264971.0,88.50864974463295,34402.0
2020-01-11,0,United States,299148.0,262596.0,87.78129888884432,36552.0
2020-01-18,0,United States,299000.0,260600.0,87.15719063545151,38400.0
2020-01-25,0,United States,299225.0,257250.0,85.97209457765895,41975.0
2020-02-01,0,United States,299450.0,256750.0,85.74052429454,42700.0
2020-02-08,0,United States,299698.0,256625.0,85.62786538448705,43073.0
2020-02-15,0,United States,300173.0,257125.0,85.65893667984795,43048.0
2020-02-22,0,United States,301948.0,259250.0,85.85915455641369,42698.0
2020-02-29,0,United States,304448.0,261125.0,85.76998370821947,43323.0
2020-03-07,0,United States,308100.0,263125.0,85.40246673158065,44975.0
2020-03-14,0,United States,311625.0,263875.0,84.6770958684316,47750.0
2020-03-21,0,United States,314375.0,266350.0,84.72365805168987,48025.0
2020-03-28,0,United States,315650.0,268200.0,84.96752732456835,47450.0
2020-04-04,0,United States,315750.0,270450.0,85.65320665083136,45300.0
2020-04-11,0,United States,315750.0,271700.0,86.04908946951703,44050.0
2020-04-18,0,United States,315225.0,271700.0,86.19240225235943,43525.0
2020-04-25,0,United States,316225.0,269600.0,85.2557514428018,46625.0
2020-05-02,0,United States,317475.0,268600.0,84.60508701472557,48875.0
2020-05-09,0,United States,319950.0,266100.0,83.16924519456165,53850.0
